,Airline,scores,compound,sent_type,Airline_Mentioned,Attribute_Mentioned,delta_airline,american_airline,united_airline,spirit_airline,air_canada,ryanair,frontier_airline,emirates_airline,southwest_airline,british_airway,comfort,in-flight_entertainment,customer_service,monetary_values,cleanliness,check-in_boarding,food_beverage
13331,Frontier_Airline,"{'neg': 0.09, 'neu': 0.863, 'pos': 0.047, 'compound': -0.3818}",-0.3818,0,['frontier_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13332,Frontier_Airline,"{'neg': 0.154, 'neu': 0.817, 'pos': 0.029, 'compound': -0.9587}",-0.9587,0,['frontier_airline'],"['monetary_values', 'check-in_boarding', 'comfort']",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
13333,Frontier_Airline,"{'neg': 0.122, 'neu': 0.822, 'pos': 0.056, 'compound': -0.8844}",-0.8844,0,['frontier_airline'],"['check-in_boarding', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
13334,Frontier_Airline,"{'neg': 0.016, 'neu': 0.953, 'pos': 0.031, 'compound': 0.3506}",0.3506,2,['frontier_airline'],"['check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13335,Frontier_Airline,"{'neg': 0.04, 'neu': 0.852, 'pos': 0.108, 'compound': 0.8011}",0.8011,2,['frontier_airline'],"['check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13336,Frontier_Airline,"{'neg': 0.085, 'neu': 0.807, 'pos': 0.108, 'compound': 0.3883}",0.3883,2,"['frontier_airline', 'spirit_airline']","['monetary_values', 'check-in_boarding', 'customer_service']",0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
13337,Frontier_Airline,"{'neg': 0.043, 'neu': 0.899, 'pos': 0.058, 'compound': 0.3612}",0.3612,2,['frontier_airline'],"['check-in_boarding', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
13338,Frontier_Airline,"{'neg': 0.043, 'neu': 0.754, 'pos': 0.203, 'compound': 0.9454}",0.9454,2,['frontier_airline'],"['check-in_boarding', 'customer_service', 'monetary_values', 'in-flight_entertainment']",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
13339,Frontier_Airline,"{'neg': 0.055, 'neu': 0.929, 'pos': 0.016, 'compound': -0.5635}",-0.5635,0,['frontier_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13340,Frontier_Airline,"{'neg': 0.024, 'neu': 0.976, 'pos': 0.0, 'compound': -0.2433}",-0.2433,0,['frontier_airline'],"['customer_service', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
